Region,Date,All aged 16 & over,Total economically active,Total in employment,Unemployed,Economically inactive,Economic activity rate (%),Employment rate (%),Unemployment rate (%),Economic inactivity rate (%),All aged 16 to 64,Total economically active (16 to 64),Total in employment (16 to 64),Unemployed (16 to 64),Economically inactive (16 to 64),Economic activity rate (%) (16 to 64),Employment rate (%) (16 to 64),Unemployment rate (%) (16 to 64),Economic inactivity rate (%) (16 to 64),Treated
North East,Mar-May 1997,2010224,1177726.186,1063394.06,114332.1265,832497.8137,58.58681352,52.89928186,9.707869945,41.41318648,1616770,1167095.189,1053059.673,114035.5155,449674.811,72.18684098,65.13354858,9.770883865,27.81315902,0
North East,Apr-Jun 1997,2009983,1176936.248,1060266.972,116669.2762,833046.7516,58.55453745,52.75004675,9.912964818,41.44546255,1616408,1166320.43,1049963.535,116356.8944,450087.5704,72.15507654,64.95659111,9.976408834,27.84492346,0
North East,May-Jul 1997,2009570,1173713.396,1059991.163,113722.2332,835856.6041,58.40619615,52.74716296,9.689097318,41.59380385,1615904,1162701.525,1049277.61,113423.9157,453202.4746,71.95362629,64.93440265,9.755204857,28.04637371,0
North East,Jun-Aug 1997,2009476,1167628.381,1057146.994,110481.3865,841847.6192,58.10611228,52.60809257,9.462033322,41.89388772,1615723,1157698.459,1047300.692,110397.7675,458024.5405,71.65203809,64.81932188,9.535969109,28.34796191,0
North East,Jul-Sep 1997,2009226,1168193.75,1064706.717,103487.0336,841032.2496,58.14148087,52.99088887,8.858721725,41.85851913,1615397,1159519.35,1055653.887,103865.4637,455877.6496,71.779219,65.3495015,8.957630905,28.220781,0
North East,Aug-Oct 1997,2009119,1164800.161,1063206.242,101593.9186,844318.8393,57.97566798,52.9190278,8.72200417,42.02433202,1615256,1155531.302,1054143.579,101387.7224,459724.6982,71.53858595,65.26170337,8.77412167,28.46141405,0
North East,Sep-Nov 1997,2009135,1160032.619,1059355.344,100677.275,849102.3815,57.73791301,52.72693689,8.678831386,42.26208699,1615082,1151658.923,1051032.282,100626.6418,463423.0766,71.30652954,65.07609407,8.737538497,28.69347046,0
North East,Oct-Dec 1997,2008839,1158712.009,1062328.359,96383.65064,850126.9908,57.68068069,52.88270282,8.318171372,42.31931931,1614772,1150166.117,1053871,96295.11683,464605.8829,71.22777192,65.26438409,8.372279047,28.77222808,0
North East,Nov-Jan 1998,2008862,1156338.489,1063532.221,92806.268,852523.5114,57.56186779,52.94202492,8.025873817,42.43813221,1614701,1147337.131,1055267.026,92070.10507,467363.8694,71.05570199,65.35371103,8.024677543,28.94429801,0
North East,Dec-Feb 1998,2008603,1158785.212,1059118.022,99667.19004,849817.7876,57.69110234,52.72908695,8.601006379,42.30889766,1614390,1149753.489,1050866.154,98887.33493,464636.511,71.21906659,65.09369818,8.600742322,28.78093341,0
North East,Jan-Mar 1998,2008689,1157977.192,1060124.406,97852.78606,850711.808,57.6484061,52.77693092,8.450320674,42.3515939,1614349,1146945.847,1049873.991,97071.85612,467403.153,71.04695744,65.03389236,8.463508227,28.95304256,0
North East,Feb-Apr 1998,2008409,1157595.154,1061177.156,96417.99829,850813.8459,57.63742117,52.83670586,8.329163953,42.36257883,1613983,1145526.727,1049540.252,95986.47489,468456.2734,70.97514203,65.02796198,8.379243597,29.02485797,0
North East,Mar-May 1998,2008361,1149435.277,1057731.535,91703.74161,858925.723,57.23250337,52.66640487,7.978156182,42.76749663,1613918,1137603.09,1046289.877,91313.21273,476314.9104,70.48704393,64.82918444,8.02680773,29.51295607,0
North East,Apr-Jun 1998,2007972,1146763.327,1050296.461,96466.86652,861208.6728,57.11052381,52.30633,8.412099012,42.88947619,1613399,1134695.473,1038585.171,96110.30178,478703.5271,70.32950144,64.37249379,8.470140586,29.67049856,0
North East,May-Jul 1998,2007827,1142950.102,1043179.554,99770.54771,864876.898,56.92473017,51.95564928,8.729212897,43.07526983,1613219,1131079.704,1031646.87,99432.83391,482139.296,70.11321488,63.9495859,8.79096615,29.88678512,0
