region,year,total_economically_active,total_in_employment,unemployed,employment_rate,total_economically_active_16_64,total_in_employment_16_64,unemployed_16_64,economically_inactive_16_64,economic_activity_rate_16_64,employment_rate_16_64,unemployment_rate_16_64,treated,RegionID
EastMidlands,2013,2308632.9274999998,2137904.2661666665,170728.66139166665,57.914390519166666,2234810.6375833335,2065429.752,169380.8856,651509.7790583334,77.42751687583333,71.55894612916667,7.5810135545,0.0,2
EastMidlands,2014,2349633.352,2211939.5256666667,137693.82611666666,59.41678294416667,2267320.435583333,2130704.077666667,136616.35775833332,628144.2312833333,78.30579125333334,73.58702064416667,6.027237859916667,0.0,2
EastMidlands,2015,2364055.2446666667,2253557.6439166665,110497.60075833334,59.999941694166665,2276854.157,2167279.4999166667,109574.65715833334,633276.842975,78.23914065333334,74.47359656333333,4.812433167583333,0.0,2
EastMidlands,2016,2393737.2753333333,2285359.938333333,108377.33700833334,60.27101707833333,2306734.6390833333,2200337.615833333,106397.02320833334,621830.6110416666,78.76581571,75.1328980525,4.612115080583333,0.0,2
EastMidlands,2017,2371393.405583333,2274582.6021666666,96810.80352,59.488571495,2292985.671833333,2197618.9141666666,95366.75768083334,651731.5781333334,77.86815733166667,74.629599185,4.159085595,0.0,2
EastMidlands,2018,2403681.94675,2300393.9995833333,103287.94710083333,59.965866409166665,2312735.1504166666,2211278.0311666667,101457.11942,628502.5162583333,78.63135593416666,75.18183841166667,4.385661792083334,0.0,2
EastMidlands,2019,2462032.6135,2358493.7268333333,103538.886775,61.18537114583334,2361804.5800833334,2259642.1173333335,102162.46260000001,581738.6700083333,80.23657916833334,76.765772555,4.326506277916667,0.0,2
EastMidlands,2020,2451476.4004166666,2336268.2238333332,115208.17650416667,60.36081464583333,2356853.88175,2244033.229083333,112820.65291833335,588800.3680833332,80.01132078916667,76.18129236166666,4.791921282916667,0.0,2
EastMidlands,2021,2413412.1728333333,2304539.7156666666,108872.45718666667,59.33917333333333,2320525.941083333,2213797.26275,106728.67822333334,625344.64245,78.77242206583334,75.14898471166667,4.596284366666667,0.0,2
EastofEngland,1993,2646070.1441666665,2404624.33275,241445.81146666667,59.54128309083333,2600236.233,2361114.833166667,239121.39995833335,651592.8503416666,79.96226542583334,72.60880757833333,9.195747940333334,0.0,3
EastofEngland,1994,2648877.5069999998,2431221.5478333333,217655.95900833336,60.01537787666667,2604844.8074166668,2388922.8448333335,215921.9626,651342.6925583334,79.996793915,73.36538614583334,8.289162228916668,0.0,3
EastofEngland,1995,2658544.739,2459146.8409166667,199397.89778333335,60.38336793833333,2608129.3973333333,2410002.547583333,198126.84943333335,660702.6028583334,79.78796737833333,73.726738895,7.596255268416667,0.0,3
EastofEngland,1996,2658634.3941666665,2481997.3660833333,176637.02822500002,60.562984110833334,2609036.6611666665,2434300.75,174735.9113,677545.5887333333,79.38442852,74.06776928416666,6.697353125333333,0.0,3
EastofEngland,1997,2671763.1983333332,2513694.1859166664,158069.01246666667,60.88945933833333,2623071.916833333,2466451.7978333333,156620.11905833334,685783.4997583333,79.2736357925,74.53974468416668,5.9728690213333335,0.0,3
EastofEngland,1998,2699144.7891666666,2569121.963916667,130022.82530833333,61.77669344416666,2653930.629833333,2525420.0544166663,128510.5756,677304.4533833334,79.6683201525,75.81010851583333,4.842254202583333,0.0,3
EastofEngland,1999,2709710.805583333,2596243.657,113467.14841666666,62.02030133333333,2659439.6228333334,2546673.294583333,112766.32836666667,691831.6271083333,79.35619308166666,75.99112191333333,4.240486414916666,0.0,3
EastofEngland,2000,2742000.2915,2639108.32625,102891.96534166667,62.570294331666666,2689966.2465,2587642.2575,102323.9891275,684589.2535666666,79.71227434250001,76.6798838575,3.804733328333333,0.0,3
EastofEngland,2001,2788025.9594166665,2684719.9115833333,103306.0478325,63.20368970333333,2733968.313333333,2631780.09675,102188.21676166666,660455.4365666667,80.54322206416667,77.53298259333333,3.7377128733333334,0.0,3
EastofEngland,2002,2791988.2730833334,2686559.8825,105428.39067166667,62.77473146,2737185.077666667,2632595.5194166666,104589.55854166667,679225.4222083334,80.119165765,77.05797649666667,3.82117047925,0.0,3
EastofEngland,2003,2811906.719666667,2699123.7109999997,112783.0087,62.508684745000004,2750165.3554166667,2638296.2176666665,111869.137805,693607.2279333334,79.85867495583334,76.60973364,4.069262037916666,0.0,3
EastofEngland,2004,2853295.443916667,2750485.0305,102810.4134,63.1475577825,2787878.03525,2686710.18725,101167.84816583333,683294.2980833333,80.31570976,77.40139351916666,3.6286839572500003,0.0,3
EastofEngland,2005,2875321.1575,2759441.5123333335,115879.64521666667,62.63685000833333,2808995.1593333334,2694612.5185,114382.64101666666,702814.0906083334,79.98742212,76.73078245333333,4.071720556916667,0.0,3
EastofEngland,2006,2890838.4160833335,2752232.76275,138605.65335833334,61.837490833333334,2819158.0613333336,2682127.640583333,137030.4208,731150.6886666667,79.40651777083333,75.54671428583333,4.860823406833333,0.0,3
EastofEngland,2007,2910850.334666667,2773931.248,136919.08642500002,61.69145871916667,2838338.9994166666,2702445.4280833337,135893.57124166665,745861.4172916667,79.18970714666666,75.39820773416666,4.7881496490833335,0.0,3
EastofEngland,2008,2957743.590166667,2817847.8476666664,139895.74238333333,62.0171825925,2872124.9984166664,2733787.429916667,138337.56868333332,740773.1682416666,79.49642371833333,75.66779349333333,4.81536699975,0.0,3
EastofEngland,2009,2979610.1356666666,2794287.614833333,185322.52058333333,60.95051612333333,2904094.4576666667,2720462.018333333,183632.43915833335,728613.3757083333,79.94373987333334,74.8889396,6.323331280166666,0.0,3
EastofEngland,2010,2975766.570333333,2778032.513583333,197734.057075,59.955659069166664,2886846.7863333337,2690802.652583333,196044.13366666666,772217.7970333333,78.89542899083334,73.53760612333333,6.791175113916666,0.0,3
EastofEngland,2011,3038436.8969166665,2837187.3724166662,201249.52451666666,60.617298588333334,2940060.0710833333,2740158.1605833336,199901.910425,740674.6789,79.87676307666666,74.4459481625,6.7980137224999995,0.0,3
EastofEngland,2012,3068843.478,2861844.899083333,206998.57869999998,60.68819340333334,2948677.7285833335,2745178.0511666667,203499.677425,727769.9380583334,80.204530215,74.6693017675,6.901262596083334,0.0,3
